,Np,Vp,Tpr,alpha_ratio,VGSE_x,VGSE_y,VGSE_z,VGSM_x,VGSM_y,VGSM_z
2017-10-11 01:23:00,12.746,371.92,68008.5,0.0215,-371.171,-16.713,-16.55,-371.171,-21.431,-13.353
2017-10-11 01:24:00,13.0631,372.22,67193.1,0.0227,-371.585,-17.465,-12.833,-371.585,-21.202,-9.567
2017-10-11 01:25:00,13.2547,372.2,69915.5,0.0263,-371.612,-17.313,-11.794,-371.612,-20.796,-8.603
2017-10-11 01:26:00,13.1499,374.58,73290.0,0.0326,-374.173,-13.161,-11.606,-374.173,-16.749,-9.503
2017-10-11 01:27:00,13.0413,373.11,77917.5,0.0351,-372.685,-15.328,-9.175,-372.685,-18.215,-6.591
2017-10-11 01:28:00,13.4257,376.78,81455.0,0.0282,-376.542,-10.34,-8.673,-376.542,-13.279,-7.414
2017-10-11 01:29:00,12.811,378.87,96363.2,0.0335,-378.665,2.099,-12.169,-378.665,-2.204,-14.055
2017-10-11 01:30:00,13.0505,379.21,94469.3,0.0353,-378.987,-2.155,-12.801,-378.987,-6.487,-13.555
2017-10-11 01:31:00,11.7024,378.6,87169.6,0.0349,-378.319,-5.726,-13.45,-378.319,-10.116,-13.246
2017-10-11 01:32:00,12.9723,380.74,93028.1,0.0365,-380.364,-1.611,-16.938,-380.364,-7.08,-17.701
2017-10-11 01:33:00,13.0195,378.66,95596.0,0.0386,-378.386,-5.022,-13.375,-378.386,-9.443,-13.368
2017-10-11 01:34:00,12.2885,378.19,88561.7,0.0398,-377.935,-4.821,-13.15,-377.935,-9.202,-13.209
2017-10-11 01:35:00,,,,,,,,,,
2017-10-11 01:36:00,12.9371,377.89,90895.4,0.0355,-377.629,-5.076,-13.031,-377.629,-9.429,-13.031
2017-10-11 01:37:00,13.0634,376.68,95410.9,0.0407,-376.417,-5.736,-12.85,-376.417,-10.029,-12.685
2017-10-11 01:38:00,12.1359,378.9,90257.6,0.036,-378.592,-6.005,-14.013,-378.592,-10.611,-13.738
2017-10-11 01:39:00,12.2128,379.66,87939.6,0.0406,-379.353,-5.075,-14.436,-379.353,-9.84,-14.398
2017-10-11 01:40:00,11.7906,379.4,88242.3,0.04,-379.134,-5.934,-12.897,-379.134,-10.27,-12.688
2017-10-11 01:41:00,12.732,382.94,91242.7,0.0345,-382.716,-3.604,-12.581,-382.716,-7.952,-13.012
2017-10-11 01:42:00,13.5887,380.87,93390.2,0.0323,-380.503,-11.36,-12.367,-380.503,-15.379,-10.726
2017-10-11 01:43:00,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-11 01:44:00,12.8311,380.04,97966.5,0.0387,-379.755,-5.852,-13.45,-379.755,-10.39,-13.257
2017-10-11 01:45:00,13.7802,379.27,93010.5,0.0319,-378.89,-8.924,-14.498,-378.89,-13.644,-13.438
2017-10-11 01:46:00,13.1623,381.66,90423.7,0.0332,-381.238,-9.752,-15.063,-381.238,-14.606,-13.758
2017-10-11 01:47:00,13.1168,378.31,95840.4,0.0327,-377.804,-12.386,-15.214,-377.804,-17.197,-13.189
2017-10-11 01:48:00,14.0931,378.88,87138.8,0.0361,-378.436,-10.318,-15.279,-378.436,-15.236,-13.813
2017-10-11 01:49:00,13.2864,376.0,93155.7,0.0332,-375.482,-12.677,-15.193,-375.482,-17.496,-13.088
2017-10-11 01:50:00,12.3897,379.54,96371.4,0.036,-379.141,-9.467,-14.687,-379.141,-14.283,-13.476
2017-10-11 01:51:00,,,,,,,,,,
2017-10-11 01:52:00,13.3584,381.61,101902.0,0.0344,-381.296,-7.647,-13.592,-381.296,-12.246,-12.922
2017-10-11 01:53:00,12.5494,380.17,93071.6,0.0344,-379.759,-10.41,-14.352,-379.759,-15.124,-12.897
2017-10-11 01:54:00,12.6833,380.04,96661.2,0.0362,-379.483,-11.277,-17.163,-379.483,-16.743,-15.361
2017-10-11 01:55:00,12.8601,378.52,91680.3,0.0374,-377.88,-10.484,-19.3,-377.88,-16.584,-17.632
2017-10-11 01:56:00,13.12,377.67,94959.8,0.0351,-377.291,-9.197,-14.155,-377.291,-13.942,-13.041
2017-10-11 01:57:00,13.7087,377.25,94334.4,0.0384,-376.849,-10.04,-14.277,-376.849,-14.799,-12.925
2017-10-11 01:58:00,13.759,377.4,91546.4,0.0393,-376.932,-10.905,-15.354,-376.932,-15.942,-13.72
2017-10-11 01:59:00,13.0766,377.72,93228.8,0.0409,-377.248,-10.913,-15.423,-377.248,-15.982,-13.783
2017-10-11 02:00:00,13.044,378.07,90614.9,0.0364,-377.542,-11.843,-16.194,-377.542,-17.103,-14.263
2017-10-11 02:01:00,14.3173,379.43,94944.5,0.0374,-378.986,-10.919,-14.73,-378.986,-15.821,-13.113
2017-10-11 02:02:00,14.4568,381.08,88905.4,0.0375,-380.616,-9.601,-16.172,-380.616,-14.972,-14.865
2017-10-11 02:03:00,14.1497,380.31,93072.2,0.0369,-379.901,-11.293,-13.46,-379.901,-15.85,-11.787
2017-10-11 02:04:00,13.1363,381.55,90881.9,0.033,-381.088,-11.677,-14.759,-381.088,-16.596,-12.924
2017-10-11 02:05:00,13.6317,383.29,88464.9,0.0351,-382.826,-12.951,-13.63,-382.826,-17.513,-11.481
2017-10-11 02:06:00,13.005,377.29,86742.5,-1e+31,-376.727,-14.978,-14.163,-376.727,-19.621,-11.417
2017-10-11 02:07:00,,,,,,,,,,
2017-10-11 02:08:00,14.6267,381.92,96668.6,-1e+31,-381.359,-10.524,-17.727,-381.359,-16.367,-16.091
2017-10-11 02:09:00,14.2576,378.56,102248.8,0.0352,-377.987,-13.569,-15.856,-377.987,-18.772,-13.432
2017-10-11 02:10:00,13.6025,379.35,95369.0,0.0358,-378.769,-14.467,-15.169,-378.769,-19.452,-12.515
2017-10-11 02:11:00,14.1171,380.48,107029.2,0.0332,-379.43,-15.158,-23.867,-379.43,-22.599,-20.654
2017-10-11 02:12:00,14.5018,380.43,94588.8,0.0328,-379.364,-18.062,-21.934,-379.364,-24.851,-17.967
2017-10-11 02:13:00,15.423,381.12,93926.1,0.0321,-380.397,-16.518,-16.571,-380.397,-21.856,-13.26
